1	1	6.532762	47.078550	72.537687	66.443148	92.487082	0.195612	0.330667	0.916972	0.800548	0.347024	3.541611	2.000000	60.928832	21.145856	4.000000	26.373756	18.819922	5.000000	0.011073	10.487475	3.000000	0.010398	2.263003	1.000000	0.010796	3.302442	2.000000	0.027211	5.720985	2.000000	0.058366	30.342052	3.000000	0.011642	0.178507	3.000000	0.166536
2	2	36.446860	9.664727	7.182739	93.293969	58.812286	0.625380	0.197626	0.403198	0.871592	0.298684	0.271339	5.000000	44.255601	6.985483	3.000000	19.699908	15.262699	3.000000	0.010838	7.504734	2.000000	0.445417	3.502503	1.000000	0.013944	12.312176	4.000000	0.177410	5.799422	5.000000	0.022483	34.956947	3.000000	0.011917	0.479993	4.000000	0.010558
3	1	55.970101	24.777260	5.021349	1.776402	94.858787	0.129948	0.969767	0.948283	0.989107	0.183067	5.964394	1.000000	73.209085	17.312473	1.000000	49.690235	22.017102	4.000000	0.046402	5.580450	3.000000	0.013632	8.672259	3.000000	0.070648	5.734901	1.000000	0.064671	11.442593	6.000000	0.018704	14.989251	1.000000	0.026235	3.807257	6.000000	0.016570
4	2	51.472158	55.561576	95.283392	76.237031	40.934764	0.273197	0.920096	0.411922	0.988707	0.731483	9.391274	4.000000	15.773982	13.624594	2.000000	42.154690	9.254625	1.000000	0.017345	7.817561	5.000000	0.014508	8.538825	3.000000	0.048202	7.518326	4.000000	0.032632	9.371728	3.000000	0.019456	32.107236	4.000000	0.049004	9.990828	5.000000	0.037236
5	2	1.731706	19.081017	54.374814	10.546649	40.024487	0.251369	0.720095	0.635737	0.599600	0.871613	7.492408	6.000000	96.509644	6.085466	6.000000	58.161202	13.464082	5.000000	0.013171	12.123164	2.000000	0.012204	5.614433	3.000000	0.027681	13.155426	6.000000	0.019403	5.220044	4.000000	0.254747	31.117787	1.000000	0.017923	10.301998	2.000000	0.119043
6	1	40.191636	89.975897	16.679379	43.764908	28.364366	0.632089	0.499904	0.464220	0.763401	0.712331	1.737546	2.000000	50.832515	14.877881	1.000000	77.516379	9.145771	5.000000	0.013544	11.774476	2.000000	0.015354	11.284361	5.000000	0.012637	4.809792	1.000000	0.032744	4.934257	5.000000	0.020041	56.333362	3.000000	0.031620	0.928147	3.000000	0.015618
7	2	16.148976	32.101396	7.337291	49.518869	64.437338	0.186577	0.576038	0.684537	0.121597	0.763472	11.004559	4.000000	80.531541	14.529003	6.000000	53.565018	7.889082	3.000000	0.021528	0.636414	4.000000	0.029927	1.281520	3.000000	0.036645	3.357523	3.000000	0.014331	9.077638	5.000000	0.011862	26.164819	5.000000	0.010154	1.335028	6.000000	0.039491
8	2	94.212164	77.492564	55.675207	18.367569	48.383742	0.160827	0.803603	0.901396	0.493094	0.437283	12.994626	2.000000	86.564157	14.480436	1.000000	23.956298	5.415496	2.000000	0.041426	8.083989	2.000000	0.016140	5.302079	5.000000	0.046163	7.941935	3.000000	0.063114	8.462906	5.000000	0.014180	45.234043	6.000000	0.010322	12.109468	1.000000	0.030582
9	1	48.559684	56.987604	82.940337	77.302974	44.662168	0.756938	0.181244	0.841762	0.873734	0.478502	4.699961	2.000000	77.967376	1.654601	3.000000	10.023684	23.188690	4.000000	0.016663	9.204762	2.000000	0.048525	3.765861	3.000000	0.015690	0.562977	4.000000	0.012014	11.358731	5.000000	0.010166	16.660193	3.000000	0.015206	3.208385	2.000000	0.023412
10	2	78.619208	54.669236	41.914346	36.524058	83.143956	0.204969	0.352176	0.270674	0.500807	0.193404	0.448334	1.000000	54.522919	11.045214	1.000000	18.353900	21.685031	1.000000	0.024395	13.129526	1.000000	0.018780	5.889784	4.000000	0.020125	10.983883	5.000000	0.011254	13.051482	4.000000	0.011934	24.699739	5.000000	0.010378	5.167264	5.000000	0.011297
