1	1	48.563861	90.824681	79.582416	48.572233	0.913373	0.745498	0.404369	0.955966	17.605126	2.000000	0.038418	51.449960	1.000000	0.026451	47.439704	3.000000	0.043197	4.552345	6.000000	0.010637	5.525946	4.000000	0.018988
2	1	96.882141	66.431598	47.223377	20.820676	0.630517	0.532399	0.916588	0.814386	28.364845	6.000000	0.026451	30.296694	5.000000	0.043197	53.521681	5.000000	0.010637	42.598476	4.000000	0.018988	5.525946	2.000000	0.018013
3	2	96.882141	66.431598	47.223377	73.982618	0.280188	0.630517	0.532399	0.916588	46.470135	6.000000	0.010162	30.296694	5.000000	0.017266	53.521681	3.000000	0.038418	42.598476	5.000000	0.026451	4.948144	6.000000	0.026451
4	1	55.393599	37.589258	65.145162	66.868788	0.187178	0.579215	0.855477	0.862540	35.014507	5.000000	0.012242	11.806353	6.000000	0.128234	43.838194	4.000000	0.013234	12.611968	3.000000	0.040578	10.425907	3.000000	0.011038
5	1	61.313689	58.450159	17.217140	27.393977	0.626631	0.276407	0.388462	0.636221	17.696938	3.000000	0.045676	29.185583	1.000000	0.010211	43.288786	2.000000	0.014833	4.688955	4.000000	0.021441	5.615404	5.000000	0.010971
6	1	4.855578	40.241171	33.480208	96.818965	0.670448	0.239240	0.179561	0.881426	33.552133	4.000000	0.073734	31.975834	1.000000	0.196657	38.676237	4.000000	0.011912	14.549003	5.000000	0.012326	6.378236	1.000000	0.027324
7	2	88.815878	52.233976	12.829486	70.450084	0.680199	0.710649	0.344090	0.953160	34.095806	6.000000	0.016663	47.862213	3.000000	0.030233	22.405399	5.000000	0.011680	25.390892	6.000000	0.023892	10.081825	5.000000	0.017892
8	1	18.831233	68.279737	36.807843	13.575557	0.855649	0.936890	0.744136	0.209199	27.454618	5.000000	0.011326	45.058916	6.000000	0.015426	58.052921	4.000000	0.014723	55.975885	5.000000	0.029867	10.956438	3.000000	0.011823
9	1	95.285390	25.261740	1.605929	78.497914	0.129001	0.555019	0.866455	0.398240	37.499298	6.000000	0.010398	26.928767	5.000000	0.029188	11.833567	6.000000	0.012019	44.672601	4.000000	0.018075	7.112216	5.000000	0.069151
10	2	33.630046	86.759927	85.709047	91.325101	0.432989	0.804004	0.777974	0.849667	18.614840	4.000000	0.022923	22.054779	4.000000	0.015037	39.484092	3.000000	0.300036	36.336173	6.000000	0.018172	2.765643	6.000000	0.014016
