1	2	53.136110	211.988750	73.938569	12.692749	55.986225	75.746527	0.408956	0.563409	0.859317	0.765427	0.393043	0.273777	8.912334	4.000000	0.028155	26.181634	4.000000	0.016163	43.021877	5.000000	0.024692	6.064355	4.000000	0.011210	6.841914	3.000000	0.012757	0.970512	6.000000	0.012822	4.719148	2.000000	0.031929	6.098329	6.000000	0.132895	8.322044	2.000000	0.011662	3.418647	4.000000	97.963801	2.212507	2.000000	0.013830
2	2	65.896041	301.252688	1.780952	90.814893	64.393853	70.567060	0.714660	0.474570	0.806833	0.815315	0.481835	0.500412	7.969226	3.000000	0.014754	4.015962	3.000000	0.088437	52.599398	1.000000	0.010775	6.792243	6.000000	0.089303	0.225533	4.000000	0.018387	6.072151	6.000000	0.015210	6.259186	5.000000	0.451735	1.693952	1.000000	0.039561	7.829996	2.000000	0.015463	3.148826	6.000000	51.680829	3.857839	2.000000	0.014672
3	4	97.209062	769.030918	27.679834	83.183976	61.191049	70.673840	0.465485	0.518391	0.548398	0.538283	0.731818	0.236468	8.068990	6.000000	0.015297	0.867216	4.000000	0.080331	30.109687	2.000000	0.083370	11.435548	5.000000	0.013885	11.758563	6.000000	0.063556	2.095773	3.000000	0.052517	5.100252	3.000000	0.014418	48.208752	5.000000	0.068537	7.907581	2.000000	0.014094	8.347102	4.000000	58.697180	7.210775	3.000000	0.016139
4	2	60.170522	929.399355	88.867294	16.484551	72.936471	48.927056	0.926650	0.242481	0.730737	0.717915	0.381970	0.739190	7.146997	5.000000	0.014115	17.223149	1.000000	0.014243	10.268241	5.000000	0.019512	12.354055	2.000000	0.010421	8.212290	3.000000	0.052654	4.007004	5.000000	0.010092	3.228701	5.000000	0.010946	49.641388	4.000000	0.023512	9.579084	2.000000	0.011627	5.016718	1.000000	72.120326	0.568400	6.000000	0.011331
5	4	24.416088	523.688269	61.638439	82.540419	66.992661	53.002191	0.144666	0.559784	0.386534	0.589159	0.432048	0.283321	5.213629	5.000000	0.010342	40.063936	6.000000	0.013778	39.151247	4.000000	0.010803	1.915594	5.000000	0.012174	0.414267	6.000000	0.015559	4.439314	4.000000	0.068994	2.105235	6.000000	0.010081	41.235811	5.000000	0.019196	0.291325	4.000000	0.407496	10.323340	4.000000	54.637831	6.830106	4.000000	0.081869
6	2	15.023413	372.591736	48.587217	76.994294	61.339485	36.137623	0.469386	0.785136	0.326702	0.505044	0.646222	0.919032	0.943954	5.000000	0.013552	62.102357	2.000000	0.134514	27.188195	1.000000	0.310729	2.672677	4.000000	0.011592	1.709514	3.000000	0.081860	8.192358	4.000000	0.039131	2.090734	4.000000	0.011020	39.797723	2.000000	0.012355	5.278225	6.000000	0.017084	1.098090	6.000000	45.915648	6.277026	5.000000	0.045614
7	1	19.558997	560.058730	68.874004	62.908773	32.126211	21.173478	0.406878	0.328805	0.750070	0.229506	0.660109	0.539763	5.295743	5.000000	0.010796	55.441567	4.000000	0.011006	38.483125	2.000000	0.012548	5.371572	5.000000	0.034184	19.057293	1.000000	0.216741	4.917820	5.000000	0.041596	1.653149	2.000000	0.010457	49.689382	2.000000	0.014997	6.920454	1.000000	0.067041	3.970011	1.000000	19.872599	4.282049	2.000000	0.155545
8	2	84.147880	450.127631	39.985817	35.657841	52.317214	11.826961	0.624112	0.211665	0.664263	0.485113	0.622684	0.364248	2.539536	1.000000	0.012009	17.087604	6.000000	0.022420	47.634188	5.000000	0.010697	7.243860	1.000000	0.020578	7.907573	2.000000	0.089140	3.304893	1.000000	0.013808	8.492540	4.000000	0.023684	4.738109	4.000000	0.016945	3.905454	6.000000	0.017173	16.568683	5.000000	35.419004	2.046545	3.000000	0.117452
9	1	14.625628	498.278661	23.265232	28.556523	80.160681	36.567303	0.229838	0.157542	0.197584	0.307899	0.157354	0.610542	9.232410	5.000000	0.010634	17.967695	2.000000	0.024540	29.544298	5.000000	0.017237	4.842814	3.000000	0.033421	17.159105	3.000000	0.052608	7.146875	4.000000	0.422370	9.140313	6.000000	0.013395	25.908446	2.000000	0.013140	7.256035	2.000000	0.058522	1.652068	4.000000	37.477891	5.324713	5.000000	0.058319
10	2	95.395835	808.587940	19.940605	60.621229	89.051925	95.872073	0.429511	0.630704	0.894712	0.216337	0.438468	0.378253	8.750696	3.000000	0.039532	31.075284	3.000000	0.013966	25.696627	3.000000	0.021993	10.398123	2.000000	0.015178	7.109233	2.000000	0.045834	6.091040	2.000000	0.010910	8.836701	1.000000	0.012925	31.722528	2.000000	0.062875	1.241898	2.000000	0.026376	15.799849	3.000000	69.598045	10.667251	4.000000	0.028460
