1	2	70.756752	557.093445	87.630635	31.473303	21.672095	0.442502	0.804876	0.585805	0.739135	0.739135	5.650369	5.000000	0.011205	53.786443	1.000000	0.034625	56.840427	2.000000	0.023962	18.819137	4.000000	0.011385	6.936995	5.000000	0.029328	8.943521	4.000000	0.205735	1.243061	2.000000	0.042293	1.430767	6.000000	0.039254
2	1	9.184535	542.281943	39.399201	87.630635	31.473303	0.287928	0.442502	0.442502	0.804876	0.585805	6.947726	1.000000	0.011862	36.168541	3.000000	0.068938	49.927174	3.000000	0.045932	58.130484	5.000000	0.011205	17.658165	2.000000	0.034625	1.216636	5.000000	0.023962	8.943521	4.000000	0.011385	1.243061	2.000000	0.104838
3	1	9.184535	542.281943	39.399201	39.399201	87.630635	0.377030	0.442502	0.442502	0.804876	0.585805	5.650369	5.000000	0.149690	53.786443	4.000000	0.019450	56.840427	5.000000	0.011862	18.819137	1.000000	0.045932	6.936995	5.000000	0.034625	8.943521	4.000000	0.023962	1.243061	4.000000	0.011385	1.430767	5.000000	0.029328
4	2	44.757928	60.671039	83.108848	63.085097	14.783769	0.448174	0.488227	0.419192	0.756275	0.751105	3.580917	4.000000	0.014367	28.602316	2.000000	0.024642	35.422055	1.000000	0.107489	54.915467	6.000000	0.037506	28.974785	5.000000	0.022503	7.677548	5.000000	0.012420	3.678845	6.000000	0.012421	6.842000	1.000000	0.023162
5	2	62.897216	887.458770	64.113345	41.584454	52.744194	0.252130	0.195641	0.521101	0.560466	0.695511	8.291059	6.000000	0.102284	58.216845	2.000000	0.013738	23.826339	6.000000	0.011953	7.973411	3.000000	0.010874	32.905531	6.000000	0.028976	3.688178	4.000000	0.046439	9.493762	3.000000	0.040699	5.736087	4.000000	0.013021
6	2	16.618350	182.604650	31.748179	99.903076	8.853051	0.365105	0.621966	0.604903	0.592421	0.399206	2.344618	1.000000	0.049875	30.043069	6.000000	0.984207	27.946285	3.000000	0.030026	39.574323	4.000000	0.019199	18.361737	6.000000	0.078169	0.108288	4.000000	0.130571	9.015769	6.000000	0.012645	5.003645	4.000000	0.041552
7	2	47.773369	821.411183	57.813223	91.268652	50.382627	0.919907	0.906502	0.466751	0.641875	0.691948	1.813796	3.000000	0.013401	52.133796	3.000000	0.031409	20.918205	2.000000	0.158590	44.717143	6.000000	0.071953	17.378285	5.000000	0.015300	7.459164	6.000000	0.268905	8.727003	4.000000	0.056085	4.349502	5.000000	0.019489
8	2	39.024011	107.745494	19.861504	25.740469	98.737043	0.379185	0.535566	0.577946	0.130872	0.535416	6.935216	3.000000	0.014187	51.403533	5.000000	0.018768	43.663261	4.000000	0.274951	35.367966	5.000000	0.040841	37.086281	4.000000	0.024612	3.672433	2.000000	0.015215	0.206866	2.000000	0.065693	1.452853	6.000000	0.012122
9	1	60.212572	796.391253	83.994808	74.390612	43.023674	0.846605	0.451670	0.346811	0.490054	0.363793	6.182396	1.000000	0.020887	29.286908	1.000000	0.010312	30.882959	1.000000	0.029464	1.892119	4.000000	0.012166	34.341291	4.000000	0.012652	6.369530	3.000000	0.047867	4.933158	1.000000	0.017841	2.678759	2.000000	0.052745
10	2	31.761076	445.837233	50.295862	7.169414	53.581067	0.386422	0.514389	0.338989	0.484203	0.660868	6.341213	1.000000	0.024989	11.640438	1.000000	0.010870	44.210762	3.000000	0.018785	13.212239	5.000000	0.017459	21.414887	6.000000	0.012304	8.177296	1.000000	0.012743	3.555658	2.000000	0.012022	3.103525	6.000000	0.042254
