1	2	41.388366	9.331194	44.964684	0.734610	0.373270	0.307223	7.811465	1.000000	85.091730	12.211250	6.000000	0.011791	3.000771	4.000000	0.089193	9.148343	2.000000	2.431327	2.328911	5.000000	0.015171
2	2	93.755347	49.396498	51.660038	0.877418	0.555371	0.424591	9.723209	1.000000	56.246721	17.058324	6.000000	0.087354	17.600873	4.000000	0.010959	17.421093	6.000000	91.383046	16.951643	4.000000	0.168606
3	1	93.755347	49.396498	86.515937	0.424591	0.411158	0.951067	17.421093	1.000000	68.248895	52.745839	6.000000	0.010959	13.990825	2.000000	0.018658	5.701831	5.000000	65.307577	1.900267	4.000000	0.029906
4	1	21.757426	2.987767	52.621453	0.882181	0.815616	0.303940	2.052477	4.000000	67.922651	15.681352	5.000000	0.194270	4.254011	3.000000	0.012060	7.161448	2.000000	48.433676	15.876316	5.000000	0.017430
5	1	44.991677	5.232667	13.486830	0.470101	0.607621	0.845026	16.744691	4.000000	96.493315	37.620007	4.000000	0.013168	16.725149	1.000000	0.010626	10.649823	5.000000	84.499409	7.749799	1.000000	0.012148
6	1	6.386842	5.402256	29.319299	0.264258	0.419919	0.744735	1.637217	3.000000	91.736930	48.488795	1.000000	0.131366	13.924243	2.000000	0.013828	11.857095	6.000000	84.536381	16.858739	6.000000	0.020265
7	1	51.076366	23.520456	64.663627	0.864054	0.643057	0.699974	17.163080	3.000000	73.967534	26.977087	6.000000	0.047607	3.355530	3.000000	0.010275	1.425466	5.000000	76.634739	15.691745	1.000000	0.013403
8	1	52.009934	59.625813	92.676227	0.113382	0.185452	0.899163	14.494561	6.000000	74.093768	33.906497	6.000000	0.060122	11.506441	2.000000	0.039504	7.814659	4.000000	46.808041	17.249195	1.000000	0.021520
9	1	39.905608	73.865488	36.240388	0.260554	0.326527	0.690164	0.757321	5.000000	68.003648	1.756002	6.000000	0.013760	11.086493	3.000000	0.016624	9.645858	5.000000	27.731664	17.921029	4.000000	0.014918
10	1	92.195920	44.134472	70.693257	0.224305	0.799303	0.157882	2.085172	3.000000	91.992296	31.745090	5.000000	0.049436	13.415702	3.000000	0.072954	5.056519	5.000000	29.719887	1.724125	3.000000	0.047734
11	1	64.869699	98.085257	12.074514	0.933288	0.367065	0.844501	8.965241	1.000000	6.699756	38.370241	6.000000	0.028173	13.358942	1.000000	0.090284	5.402003	3.000000	98.110093	15.903852	2.000000	0.024973
12	1	51.359152	14.806568	7.650334	0.744872	0.778683	0.131643	16.482198	2.000000	2.319599	54.667745	6.000000	0.015500	11.890692	2.000000	0.022927	6.789266	6.000000	44.677824	16.769725	6.000000	0.010964
13	1	33.030734	49.457488	75.319985	0.449808	0.520088	0.223023	16.494242	1.000000	5.772360	27.048317	2.000000	0.021294	1.251860	4.000000	0.010956	3.040744	3.000000	7.043992	2.912139	2.000000	0.016116
14	2	26.585769	21.810207	91.291444	0.917857	0.696675	0.408966	15.345235	1.000000	70.216025	49.752483	6.000000	0.011876	14.617416	1.000000	0.020959	14.665415	3.000000	44.081028	15.205305	6.000000	0.012527
15	1	1.509193	71.939323	29.133972	0.168890	0.213380	0.150288	7.991601	2.000000	89.579488	34.760575	3.000000	0.024019	3.712496	3.000000	0.044162	12.653715	3.000000	99.154730	17.154290	3.000000	0.034187
16	1	29.022817	83.459747	16.781427	0.134183	0.719260	0.303973	1.036457	5.000000	35.186715	49.296506	3.000000	0.358303	4.140591	2.000000	0.023963	10.669510	3.000000	28.411501	10.689818	4.000000	0.014718
