1	2	81.179431	93.754363	40.904065	0.714980	0.854847	0.862083	28.244991	3.000000	0.018929	20.448417	4.000000	0.011952	0.596558	2.000000	92.185248	0.555354	2.000000	0.055602	4.138445	2.000000	0.014340
2	2	15.956363	46.982788	59.545103	0.160108	0.210486	0.791470	42.530739	2.000000	0.022897	15.661268	4.000000	0.021786	1.694983	2.000000	92.607689	0.360034	6.000000	0.032668	2.466227	2.000000	0.056788
3	1	79.164234	3.599796	27.795770	0.611773	0.755009	0.968210	4.094543	5.000000	0.048012	28.698830	2.000000	0.011912	4.493011	2.000000	85.984992	0.190071	4.000000	0.133266	4.156164	4.000000	0.032196
4	1	20.991978	22.312507	22.043785	0.924513	0.585432	0.792132	56.140935	6.000000	0.108089	45.328701	3.000000	0.026940	2.248536	3.000000	36.963616	1.928430	4.000000	0.046853	1.400002	6.000000	0.010336
5	2	81.600578	80.495092	86.294517	0.666780	0.356004	0.260219	28.525767	4.000000	0.016315	18.694941	5.000000	0.023653	1.207204	5.000000	49.359806	3.849614	4.000000	0.037913	1.718903	5.000000	0.014977
6	2	51.143322	54.062945	34.714616	0.219220	0.352002	0.290384	44.098462	2.000000	0.034375	59.072582	4.000000	0.012601	1.072434	6.000000	13.993367	4.281725	3.000000	0.010648	4.749243	4.000000	0.010885
7	1	8.763190	14.196215	53.702398	0.644450	0.689331	0.989910	4.022092	5.000000	0.014759	9.933135	5.000000	0.043305	1.668352	6.000000	47.873507	4.465921	1.000000	0.013248	2.115760	3.000000	0.015810
8	2	69.089779	54.874543	38.096193	0.969313	0.759478	0.904477	34.652822	3.000000	0.012245	33.726998	5.000000	0.014347	0.927044	5.000000	85.002397	2.957353	3.000000	0.013843	0.425205	2.000000	0.016026
9	2	85.009610	99.783091	57.052141	0.410674	0.705823	0.263705	45.175103	2.000000	0.031708	22.344348	2.000000	0.015623	0.401271	2.000000	98.147771	3.995790	1.000000	0.060350	2.998593	3.000000	0.056236
10	1	39.291407	41.459669	77.184337	0.282135	0.210723	0.357748	4.843956	3.000000	0.017361	44.887200	3.000000	0.030530	0.659361	5.000000	87.696056	1.344184	1.000000	0.024818	3.124807	2.000000	0.010397
11	2	28.681561	37.379441	49.474814	0.115274	0.180680	0.516860	29.576982	2.000000	0.010387	52.111391	6.000000	0.031750	2.090267	4.000000	78.508013	0.507133	6.000000	0.061314	0.416686	2.000000	0.018380
12	1	60.073289	27.312541	4.642085	0.457592	0.235177	0.931723	31.012767	2.000000	0.019334	22.877312	1.000000	0.011097	0.294532	4.000000	8.385313	0.419329	6.000000	0.011871	3.371131	6.000000	0.030723
13	1	89.317187	67.932398	43.010113	0.259987	0.327924	0.772087	2.040375	1.000000	0.773897	51.381188	2.000000	0.016361	3.362307	1.000000	28.823356	2.809011	6.000000	0.060257	2.617663	4.000000	0.013641
14	2	34.452701	25.253151	14.054726	0.682313	0.563971	0.821597	8.659756	6.000000	0.027019	30.276559	4.000000	0.010421	3.518105	2.000000	90.490498	1.993398	3.000000	0.043898	3.327961	6.000000	0.011749
15	1	93.108533	2.478815	67.404784	0.356988	0.612457	0.589182	27.281988	3.000000	0.011553	30.661609	2.000000	0.013919	3.058063	6.000000	9.687022	3.518893	3.000000	0.033080	3.893280	3.000000	0.014891
