1	5	80.070013	890.340911	51.528365	51.941486	67.182309	7.567714	0.622861	0.532069	0.433314	0.562357	0.532702	0.472326	0.985115	5.000000	0.020240	1.098741	5.000000	10.715065	6.794780	3.000000	0.012435	5.378633	6.000000	0.018642	16.491896	6.000000	0.014632	3.893776	1.000000	0.027995	3.379036	3.000000	48.989605	2.206531	3.000000	0.026249	3.904424	3.000000	14.211723	2.914078	4.000000	0.017896	1.104475	6.000000	13.229895	0.247945	3.000000	0.020387	0.390919	5.000000	84.593291	44.962385	6.000000	0.020763	4.016985	5.000000	0.021797
2	1	5.966147	418.746006	82.437660	58.463464	89.969403	48.426594	0.802672	0.971987	0.517674	0.740156	0.178789	0.468204	3.433199	5.000000	0.038108	6.075116	6.000000	31.196179	16.032978	3.000000	0.036156	0.576789	2.000000	0.021527	1.430542	3.000000	0.012530	1.008439	2.000000	0.043776	2.597120	5.000000	19.816691	1.626479	1.000000	0.814620	11.373419	6.000000	19.844541	2.057408	6.000000	0.020111	7.543999	1.000000	95.944052	3.100865	1.000000	0.010234	2.413428	2.000000	3.274308	23.604033	4.000000	0.010525	0.805522	5.000000	0.030275
3	9	46.232462	84.992229	73.330011	88.836434	21.766542	49.072403	0.703462	0.410992	0.382073	0.901234	0.437127	0.550525	0.776592	1.000000	0.077212	10.399631	1.000000	5.741172	1.867802	1.000000	0.104561	11.553244	2.000000	0.030433	0.718350	2.000000	0.042237	2.069588	6.000000	0.011535	0.645768	2.000000	20.171389	3.393270	3.000000	0.014486	11.379695	5.000000	87.371212	1.332242	2.000000	0.014204	14.192880	5.000000	88.650775	3.391582	2.000000	0.016381	2.275441	3.000000	45.666679	19.868209	3.000000	0.010896	1.952849	5.000000	0.014856
4	3	22.398461	588.936816	98.825992	97.270626	20.143057	50.415559	0.147396	0.122742	0.189119	0.208999	0.910510	0.847855	1.814831	1.000000	0.018975	5.546169	5.000000	59.625185	8.756328	4.000000	0.012219	13.286219	3.000000	0.016576	10.060189	2.000000	0.011405	3.148359	4.000000	0.033620	1.551637	1.000000	31.456425	1.558152	3.000000	0.016698	16.531427	5.000000	76.456397	2.727257	6.000000	0.013333	4.001034	3.000000	93.076709	3.418930	4.000000	0.013040	0.931067	5.000000	73.097089	12.163654	2.000000	0.099866	0.769782	2.000000	0.023772
5	3	84.010627	889.163982	44.551169	15.399285	96.541696	36.374189	0.914313	0.941474	0.207951	0.155670	0.710652	0.754134	3.108831	1.000000	0.026398	7.680277	2.000000	48.840986	13.617942	5.000000	0.017699	0.787382	6.000000	0.604104	11.737121	2.000000	0.011443	2.709552	1.000000	0.148041	1.875175	1.000000	13.045299	0.763991	3.000000	0.014469	8.532527	6.000000	97.201542	2.117444	6.000000	0.025463	3.740593	5.000000	72.937127	1.523097	1.000000	0.017833	1.842853	3.000000	35.797822	50.895259	3.000000	0.010895	4.351089	3.000000	0.019243
6	3	23.898049	176.946443	55.552927	66.796250	13.205603	54.338487	0.347728	0.103843	0.796206	0.691567	0.825579	0.746886	1.072328	5.000000	0.039902	13.981086	2.000000	59.244531	3.927726	3.000000	0.016677	5.506903	4.000000	0.095652	11.734570	2.000000	0.023211	1.153682	5.000000	0.082139	0.176749	5.000000	59.363999	0.493438	3.000000	0.040615	8.230076	3.000000	4.148696	2.300794	3.000000	0.010408	1.576691	1.000000	54.975361	3.421018	5.000000	0.015445	0.977727	3.000000	81.036596	37.500661	6.000000	0.020095	1.454158	1.000000	0.029659
7	6	46.303558	291.418405	47.870840	45.914992	50.193745	72.776879	0.886486	0.385542	0.360930	0.874583	0.115278	0.815129	2.396522	5.000000	0.013707	14.492709	5.000000	64.695049	2.994653	3.000000	0.011122	0.995222	5.000000	0.010587	14.107005	5.000000	0.010769	2.079936	2.000000	0.011012	1.567256	5.000000	25.617856	1.374888	4.000000	0.036578	0.372849	5.000000	84.645840	2.182525	4.000000	0.029842	5.879858	2.000000	98.384863	2.599607	5.000000	0.013842	4.322131	2.000000	54.909666	18.321614	3.000000	0.018596	3.787076	2.000000	0.012105
8	5	26.101719	701.378601	38.148325	30.441279	22.296862	12.120994	0.960179	0.607524	0.759509	0.916094	0.533581	0.614102	1.191773	4.000000	0.522031	10.221473	4.000000	7.223675	4.618483	6.000000	0.025130	17.359581	2.000000	0.011289	6.919647	5.000000	0.013315	0.141504	2.000000	0.010810	3.409770	4.000000	12.524684	1.239213	2.000000	0.062124	9.167792	4.000000	59.649052	2.368896	5.000000	0.013094	10.775935	5.000000	18.052216	3.103070	2.000000	0.032314	2.475908	5.000000	1.574140	36.019250	6.000000	0.193761	3.872223	2.000000	0.011660
9	4	87.370963	905.050673	30.145677	93.881591	54.517934	26.275932	0.359960	0.310156	0.906146	0.709496	0.663007	0.959885	2.256502	5.000000	0.012773	3.171482	2.000000	76.562832	5.721440	2.000000	0.026364	13.349006	2.000000	0.037862	16.500550	6.000000	0.014564	1.236358	1.000000	0.018527	1.550495	3.000000	23.261156	1.274330	2.000000	0.021678	18.685950	2.000000	63.037741	0.572643	6.000000	0.128130	9.356343	4.000000	93.983820	1.051666	4.000000	0.015694	4.090533	3.000000	2.623623	39.003346	3.000000	0.015001	3.804285	2.000000	0.021985
10	3	68.160616	431.940918	44.044155	65.320888	30.810407	10.928762	0.734784	0.645621	0.726473	0.849635	0.585466	0.763989	3.163754	3.000000	0.021747	3.581045	4.000000	29.116597	10.400428	3.000000	0.010404	15.409696	4.000000	0.028461	14.261265	5.000000	0.207839	3.283752	6.000000	0.290355	0.733055	6.000000	50.607808	1.343810	1.000000	0.035420	10.326637	2.000000	17.990185	0.360873	1.000000	0.039872	3.231830	6.000000	77.784719	0.450836	1.000000	0.013631	4.650915	1.000000	84.552383	33.849016	3.000000	0.017395	3.816982	1.000000	0.017894
