4	3	7.223831	-12.883262	-3.278807	7.592116	7.189307	3.378893	-2.274788	10.098301	-7.931802	-4.762364	-5.348806	7.948123	0.936647	-6.689180	-3.278807	7.592086	7.189304	3.378893
8	3	6.594653	-14.423351	8.471271	4.563865	5.385691	1.948567	-2.274851	6.579775	-1.603648	-2.265652	-7.050886	6.549529	5.031809	2.666743	-1.483558	-1.859762	-2.969645	6.549486
11	3	-6.019772	10.587292	-6.619712	-2.587927	-7.921560	7.352359	0.403600	-4.270466	5.132127	5.133586	-2.440376	1.986685	5.888397	-8.070719	5.132145	5.133593	-2.440376	1.986685
13	3	6.972897	-7.078794	9.007348	3.174336	5.921832	1.505990	-4.200286	13.051527	-1.163112	-2.817991	-2.686237	4.128226	6.972897	-5.052540	9.007348	3.162925	0.697725	1.537746
18	3	-5.795998	10.832318	-1.771639	-3.915993	-6.480417	7.255447	4.855271	-6.092711	7.181143	2.643505	2.243091	1.013670	-0.026284	-2.028452	7.086530	2.606129	2.243086	1.065005
20	3	-5.150935	10.970730	-4.495713	-3.677395	-4.399973	7.631100	6.917913	-1.310503	3.140179	6.296108	1.383562	1.484050	7.029915	-11.515837	3.140489	6.425860	6.711172	1.484048
23	3	-3.900804	9.804646	-2.550495	-1.820598	-1.394274	6.837273	6.617410	-19.643653	6.806711	7.639322	8.378611	3.020357	6.617410	-15.690720	6.806711	2.673188	8.378611	6.734860
30	3	-0.918903	-12.796596	7.563918	5.295525	5.922076	5.087117	-6.595570	6.958520	-2.941523	-3.490436	-4.254571	6.904945	5.620283	-18.066968	7.563918	5.295525	5.922076	5.087117
31	3	0.293974	-10.160981	7.845634	5.202075	8.242433	5.816731	-5.530615	9.223071	-2.540890	-2.788688	-1.556751	9.153840	5.292165	-14.304812	7.845634	5.202721	8.242433	5.816731
37	3	6.763345	-9.798592	-3.637148	6.556502	7.482073	1.194001	0.870850	-7.462257	-3.642076	6.556502	7.482073	1.194001	-1.231324	8.347577	-9.750539	-1.096598	-4.341752	6.109994
41	3	2.773780	9.469793	-4.606213	-3.134501	-5.055010	3.856991	7.973863	-10.843380	6.027166	1.426711	5.978468	3.831403	7.973862	-7.960700	0.893214	1.426633	5.978468	3.831409
42	3	6.424531	-8.926675	-2.141504	1.031690	6.963077	6.998068	-5.278717	9.742848	-8.564733	-2.784961	-2.999859	6.999527	6.424531	-13.457409	-2.141504	5.602601	6.963078	0.746341
46	3	-6.977016	7.293808	3.201204	-6.276878	-5.213386	8.398729	-1.125847	-3.689319	6.844112	-0.412630	0.636084	8.398728	4.589841	-5.060564	6.849658	-0.389818	0.636084	8.398728
48	3	2.604372	-10.495142	6.847550	7.134341	5.651876	2.234700	6.772592	-16.073379	6.847550	7.134760	5.651876	2.234681	-2.549339	3.043959	-0.622363	4.831790	-0.566703	3.646249
52	3	-9.455143	9.212801	-4.912956	-4.762764	-3.209408	7.519300	1.702576	-11.226195	7.258905	5.821767	7.988796	2.030312	1.702576	-5.269584	7.139011	-0.416990	7.988534	7.519283
55	3	8.032712	-16.891266	9.257019	8.299796	8.894258	1.657588	-3.954785	9.669432	-3.202316	-1.548356	-3.738772	6.337555	-3.954785	9.080467	3.225606	-1.548350	-3.738772	6.337555
60	3	1.465470	-7.862993	7.515373	1.949929	6.474097	8.081739	5.874912	-10.975255	7.515373	1.949929	6.474133	8.081739	-4.092622	3.825768	4.015549	-4.612391	-5.479565	8.458389
61	3	8.843023	-19.179566	7.410443	6.432434	5.540845	-0.215013	3.650906	3.172768	1.250775	1.462957	-0.569235	2.753733	-1.944604	4.631580	0.142116	1.462947	-0.604732	2.753734
62	3	7.037646	-21.907074	6.637439	6.152927	6.886076	-1.604715	7.037646	-15.375502	6.637439	6.152927	0.509497	-1.604715	-5.121237	7.641100	-4.464249	0.176972	0.132607	3.823983
64	3	2.273642	10.117666	-2.486483	-3.802303	-3.284322	7.360041	7.784030	-9.793409	8.061216	1.854033	8.552431	7.012413	-3.673082	10.126503	-2.486651	-3.802306	-3.284322	7.360041
66	3	6.591860	-11.682382	0.915516	7.507319	5.827213	-0.233245	6.591860	-16.544818	7.328135	7.507576	5.827213	-0.233245	6.532171	4.932353	-3.800178	2.325432	-4.643084	3.819654
68	3	-4.859582	9.437757	-0.234828	-2.869468	-2.301469	6.404153	1.046772	-8.606765	9.040610	6.547278	6.666823	4.483982	7.025802	-11.635391	9.040610	6.548771	6.666823	4.483737
69	3	8.834074	-13.432294	6.927983	6.571558	7.572807	-1.901007	8.834074	-6.922326	0.612006	6.571558	7.572807	-1.901007	-3.713216	8.524130	-5.689941	0.056209	-3.772137	4.138515
71	3	-2.261813	10.046055	-5.711060	-5.285568	-3.086770	8.344521	3.311950	9.954241	-5.711060	-5.284567	-3.082785	8.344521	7.481890	-10.701276	-0.097468	7.257983	6.320050	3.155812
76	3	7.287524	-16.795764	8.680785	6.544671	6.040647	2.254988	2.900076	3.562969	2.740692	1.223707	-4.236096	4.942363	-3.696921	8.433924	2.740484	1.088637	-5.900827	4.973611
77	3	-5.589993	9.902945	-7.131189	-2.811635	-1.697823	4.414855	-0.378701	-8.985103	5.087354	5.566426	7.216812	-1.572732	4.968049	-12.233576	5.088365	5.566426	7.218961	-1.572732
80	3	-3.793728	3.199801	4.211089	2.047300	-5.097740	6.083031	-1.518350	-15.408917	8.623886	9.111630	6.866640	0.382972	2.188389	-15.559794	8.623886	9.111630	6.866640	0.382972
84	3	-0.888020	10.447299	-7.716709	0.061352	-4.125416	6.443612	-4.657622	10.449762	-7.716709	0.061352	-4.125416	6.443612	5.815024	-7.494353	-2.450318	5.935382	5.588319	2.817128
88	3	-4.527292	9.826232	-4.559767	-3.508643	-2.981976	6.983010	7.263532	-7.662007	3.785097	6.755412	6.329709	0.422161	2.049141	-6.088677	3.785010	6.755400	6.294330	0.422161
93	3	-6.125359	11.578922	-3.186252	-4.075058	-4.147286	6.857398	0.298238	-7.424446	7.002051	6.704954	7.486763	1.558913	5.936700	-12.500338	7.002051	6.704954	7.492009	1.558913
97	3	-3.554561	11.043561	-8.538159	-3.582734	-1.387877	6.601815	7.457953	-6.176827	-2.013479	6.409934	5.397417	1.190024	7.457954	-6.431538	3.122050	6.412787	5.397417	1.189790
98	3	-7.636550	10.145766	-6.711300	0.540202	-6.074774	3.114416	-2.270918	-7.042025	3.642245	6.569133	6.537387	-2.895928	4.334398	-9.494587	3.642245	6.569133	6.537387	-2.895928
