1	1	55.454876	77.670040	47.755091	71.805751	0.320098	0.787989	0.859295	0.411161	1.049358	6.000000	0.023803	18.583501	1.000000	0.029993	9.968435	2.000000	0.023284	57.262334	2.000000	0.022498	0.152188	1.000000	40.007868	0.481279	6.000000	0.024427	1.102109	5.000000	91.746213
2	1	89.822605	76.859390	22.497417	45.473698	0.859977	0.779686	0.995384	0.394421	0.729982	6.000000	0.013424	48.113046	4.000000	0.152385	47.929049	2.000000	0.010513	21.754403	3.000000	0.012237	0.849679	4.000000	83.357181	0.234684	3.000000	0.029732	0.496936	4.000000	83.320176
3	1	6.923913	51.098970	94.233615	5.741137	0.264795	0.136798	0.249438	0.784403	0.879589	2.000000	0.031670	39.484237	4.000000	0.010636	10.223925	1.000000	0.017628	15.198745	1.000000	0.550469	1.106919	4.000000	56.642717	0.197038	6.000000	0.041233	0.679285	3.000000	59.703614
4	1	11.209396	71.713126	70.478445	32.946557	0.562569	0.760669	0.776698	0.109112	0.017360	1.000000	0.016491	27.073798	3.000000	0.011689	13.294254	4.000000	0.318106	59.862166	3.000000	0.203409	0.922643	6.000000	18.636391	1.237091	2.000000	0.036413	0.840498	5.000000	17.737045
5	1	61.970965	42.124981	17.755774	73.828905	0.688366	0.739914	0.625541	0.437987	1.227222	4.000000	0.010095	36.356647	3.000000	0.253936	37.653289	3.000000	0.016880	51.658993	3.000000	0.015932	0.392834	5.000000	21.129550	0.087247	2.000000	0.011946	0.902139	3.000000	62.994911
6	2	93.719007	26.865348	51.015364	21.747216	0.518334	0.680332	0.366330	0.616459	0.560984	2.000000	0.019083	27.870142	2.000000	0.016235	45.800809	2.000000	0.020876	6.061411	1.000000	0.015097	1.202224	5.000000	83.755142	0.965556	3.000000	0.273584	1.177356	2.000000	9.599975
7	1	58.674916	27.506221	83.779299	36.492777	0.478369	0.377763	0.827395	0.568896	0.687024	6.000000	0.030057	47.411162	3.000000	0.049046	43.891764	5.000000	0.026353	23.671706	4.000000	0.017055	1.113821	5.000000	41.309753	1.142014	1.000000	0.027931	0.107848	4.000000	47.389971
8	2	88.368924	7.598570	70.688116	86.063752	0.911292	0.652178	0.845519	0.599793	0.098217	1.000000	0.011849	31.559409	2.000000	0.026702	49.742339	2.000000	0.050486	58.660262	1.000000	0.017628	0.841593	3.000000	10.896670	1.208868	6.000000	0.010115	0.436617	6.000000	68.719517
9	2	79.363091	12.426561	35.481268	49.777375	0.614221	0.357242	0.297835	0.423174	1.105473	4.000000	0.022685	27.461296	5.000000	0.013041	17.441734	5.000000	0.177479	34.950167	6.000000	0.171346	1.278212	5.000000	97.401448	0.752919	6.000000	0.011324	0.073193	3.000000	74.034584
10	1	19.685541	1.855118	77.724610	50.924749	0.496812	0.929271	0.676828	0.201433	0.513990	3.000000	0.534713	57.224853	6.000000	0.012306	47.135981	6.000000	0.048421	9.534520	2.000000	0.010106	0.185147	6.000000	61.936606	0.599555	2.000000	0.010696	0.781492	5.000000	41.482012
