1	1	98.968866	26.961396	31.260125	0.667199	0.844365	0.767495	50.608805	3.000000	0.010807	56.173125	5.000000	30.256005	6.005811	6.000000	0.014619	17.146954	6.000000	0.042237
2	2	72.218535	57.200935	49.129786	0.716173	0.414582	0.448678	21.569370	2.000000	0.014311	33.758875	3.000000	66.982717	10.751850	5.000000	0.028410	7.917982	1.000000	0.015851
3	1	99.056519	5.520969	31.480439	0.753555	0.908099	0.596422	18.875336	5.000000	0.016504	27.337092	4.000000	4.761666	2.581841	4.000000	0.011258	1.732952	1.000000	0.012460
4	1	75.837988	47.552705	33.987516	0.458623	0.920138	0.570051	33.571316	3.000000	0.017681	31.260263	2.000000	11.153630	9.493467	6.000000	0.018345	2.732141	2.000000	0.012302
5	1	37.514232	86.513422	30.593139	0.842710	0.362137	0.369446	41.775270	4.000000	0.047631	47.234691	6.000000	99.063685	0.879655	2.000000	0.013509	16.456216	1.000000	0.116394
6	2	23.993203	51.411230	53.076652	0.927752	0.827333	0.275103	22.962904	5.000000	0.036563	24.048451	1.000000	82.427384	3.472499	3.000000	0.016066	7.650998	5.000000	0.021659
7	1	31.988877	82.260512	81.003251	0.294246	0.159615	0.328649	22.321327	3.000000	0.029778	2.335996	2.000000	32.295671	4.562282	1.000000	0.079126	18.253799	3.000000	0.361293
8	1	38.027221	58.959493	64.445865	0.631507	0.464546	0.947859	46.285404	6.000000	0.039044	47.803045	1.000000	12.959784	1.649993	1.000000	0.161035	15.886492	2.000000	0.017438
9	1	84.251395	15.291861	89.945215	0.131966	0.102424	0.817114	5.982293	2.000000	0.021174	40.211120	5.000000	18.888036	3.338500	4.000000	0.016116	14.873176	4.000000	0.010903
10	1	42.408010	70.443653	46.320633	0.376792	0.434876	0.695943	45.214581	5.000000	0.056479	17.574243	5.000000	89.303056	16.255302	2.000000	0.056648	14.820705	2.000000	0.028924
11	1	22.114375	20.044983	6.137408	0.799907	0.454295	0.985409	3.920521	4.000000	0.067145	18.551760	1.000000	75.048730	15.113472	5.000000	0.010223	10.689516	5.000000	0.088320
12	1	11.644806	98.104729	27.708220	0.180189	0.635444	0.266385	34.663347	4.000000	0.023547	13.581377	1.000000	65.362556	18.355797	1.000000	0.014225	3.006456	4.000000	0.177135
13	1	10.547035	76.747242	78.114143	0.877516	0.190307	0.147320	16.296966	6.000000	0.064199	11.360381	1.000000	93.437948	12.230035	2.000000	0.014826	12.724041	6.000000	0.013633
14	1	11.872504	19.557528	61.175612	0.311188	0.656440	0.835835	32.708256	6.000000	0.010433	31.776557	6.000000	34.980533	16.105153	2.000000	0.055484	5.503313	5.000000	0.038114
15	1	88.430316	98.349993	89.436728	0.758399	0.202164	0.987972	32.762599	2.000000	0.020234	8.396835	4.000000	41.165280	9.330150	2.000000	0.019841	12.635573	3.000000	0.070873
16	2	74.116030	29.327094	76.264121	0.589552	0.148952	0.165398	1.619799	2.000000	0.026404	23.044713	2.000000	55.109347	4.362161	6.000000	0.020441	16.249364	2.000000	0.050840
17	1	34.373678	37.521444	44.160814	0.522847	0.323283	0.736574	27.517981	3.000000	0.014255	8.661140	5.000000	50.774962	8.502920	2.000000	0.015754	3.572433	4.000000	0.024798
